Algorithm,Total_Runs,Successes,Success_Rate,SR_pct
CNN-DDQN+MD,50,46,0.92,92.0%
CNN-DQN+Duel,50,46,0.92,92.0%
CNN-DQN+MD,50,45,0.9,90.0%
CNN-DQN+MHA,50,44,0.88,88.0%
CNN-DDQN,50,43,0.86,86.0%
CNN-DQN,50,43,0.86,86.0%
MLP-DQN,50,43,0.86,86.0%
CNN-DDQN+Duel,50,43,0.86,86.0%
CNN-DDQN+MHA,50,42,0.84,84.0%
MLP-DDQN,50,41,0.82,82.0%
