Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (forest_a)/short,CNN-DQN,6,313,249,307,118,1.0,12.4912,7.4,0.072324,0.03831,0.0,0,0.03831,1,12.51,0.229
Env. (forest_a)/short,CNN-DQN,7,90,279,20,335,1.0,10.0712,6.95,0.450134,0.07952,0.0,0,0.07952,1,10.111,0.37
Env. (forest_a)/short,CNN-DQN,8,187,58,219,147,1.0,10.1242,6.0,0.220015,0.0315,0.0,0,0.0315,1,10.14,0.357
Env. (forest_a)/short,CNN-DQN,9,151,212,167,136,1.0,7.211,4.35,0.200897,0.0241,0.0,0,0.0241,1,7.223,0.152
Env. (forest_a)/short,CNN-DDQN,0,66,16,155,92,1.0,11.3585,6.45,0.148491,0.03389,0.0,0,0.03389,1,11.375,0.369
Env. (forest_a)/short,CNN-DDQN,1,176,58,235,33,1.0,5.7037,3.55,0.077816,0.01741,0.0,0,0.01741,0,5.712,0.127
Env. (forest_a)/short,CNN-DDQN,2,168,197,121,138,1.0,6.6731,4.05,0.077995,0.02008,0.0,0,0.02008,0,6.683,0.075
Env. (forest_a)/short,CNN-DDQN,3,274,190,186,268,1.0,10.9149,6.15,0.089903,0.0313,0.0,0,0.0313,0,10.931,0.094
Env. (forest_a)/short,CNN-DDQN,4,13,219,29,293,1.0,6.7762,4.1,0.106754,0.02125,0.0,0,0.02125,0,6.787,0.141
Env. (forest_a)/short,CNN-DDQN,5,211,243,279,340,1.0,11.0961,6.5,0.12017,0.03298,0.0,0,0.03298,0,11.113,0.274
Env. (forest_a)/short,CNN-DDQN,6,313,249,307,118,1.0,12.431,7.0,0.13273,0.04316,0.0,0,0.04316,1,12.453,0.148
Env. (forest_a)/short,CNN-DDQN,7,90,279,20,335,1.0,9.0894,5.85,0.308431,0.07417,0.0,0,0.07417,1,9.126,0.259
Env. (forest_a)/short,CNN-DDQN,8,187,58,219,147,1.0,9.1153,5.3,0.266631,0.02571,0.0,0,0.02571,1,9.128,0.339
Env. (forest_a)/short,CNN-DDQN,9,151,212,167,136,1.0,7.5047,4.75,0.352418,0.03987,0.0,0,0.03987,1,7.525,0.504
