Algorithm,Total_Runs,Successes,Success_Rate,SR_pct
CNN-DQN+MD,50,48,0.96,96.0%
CNN-DDQN+Duel,50,47,0.94,94.0%
CNN-DDQN+MD,50,45,0.9,90.0%
CNN-DQN+MHA,50,44,0.88,88.0%
CNN-DDQN,50,43,0.86,86.0%
CNN-DQN,50,43,0.86,86.0%
CNN-DQN+Duel,50,43,0.86,86.0%
MLP-DDQN,50,33,0.66,66.0%
MLP-DQN,50,33,0.66,66.0%
CNN-DDQN+MHA,50,29,0.58,58.0%
