Algorithm,n_pairs,raw_path_length,raw_curvature,raw_planning_time,norm_path_length,norm_curvature,norm_planning_time,composite
CNN-DDQN,33,8.506781818181818,0.20407248484848484,0.13784666666666667,0.8531143331564993,0.5905865722478899,0.27349983609530026,0.7012034687357185
RRT*,33,8.392290909090908,0.2040107272727273,0.4695451515151516,0.3356185806953623,0.6146193464490688,0.3060523439377954,0.4253336985290903
LO-HA*,33,8.353009090909092,0.16239972727272728,0.9629178787878789,0.1662388756642525,0.18783694976093687,0.7532183200158085,0.23865817195776465
