Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN,36,151,19,47,34,1.0,10.0608,5.7,0.134045,0.14445,0.0,0,0.14445,1,10.133,0.439
Env. (realmap_a),CNN-DDQN,37,228,38,151,34,1.0,7.0703,4.2,0.18739,0.11181,0.0,0,0.11181,1,7.126,0.705
Env. (realmap_a),CNN-DDQN,38,294,23,214,31,1.0,7.5471,4.55,0.175245,0.10993,0.0,0,0.10993,1,7.602,0.309
Env. (realmap_a),CNN-DDQN,39,149,12,234,13,0.0,4.7546,7.1,0.385314,0.41473,0.0,0,0.41473,1,inf,inf
Env. (realmap_a),CNN-DDQN,40,145,38,74,11,1.0,6.9746,4.15,0.241953,0.10903,0.0,0,0.10903,1,7.029,0.334
Env. (realmap_a),CNN-DDQN,41,268,30,376,61,1.0,10.8558,6.1,0.133384,0.15097,0.0,0,0.15097,1,10.931,0.0
Env. (realmap_a),CNN-DDQN,42,353,64,376,117,1.0,5.2908,3.3,0.3316,0.0795,0.0,0,0.0795,1,5.331,0.444
Env. (realmap_a),CNN-DDQN,43,12,43,89,38,0.0,10.4757,7.9,0.297184,0.42006,0.0,1,0.42006,180,inf,inf
Env. (realmap_a),CNN-DDQN,44,264,19,158,24,1.0,9.838,5.6,0.11518,0.14832,0.0,0,0.14832,0,9.912,1.0
Env. (realmap_a),CNN-DDQN,45,184,15,286,26,1.0,9.5659,5.45,0.199513,0.13966,0.0,0,0.13966,1,9.636,1.0
Env. (realmap_a),CNN-DDQN,46,130,17,36,22,1.0,8.5704,4.95,0.124465,0.12539,0.0,0,0.12539,1,8.633,0.444
Env. (realmap_a),CNN-DDQN,47,258,18,206,40,1.0,5.324,3.5,0.416542,0.11458,0.0,0,0.11458,1,5.381,0.344
Env. (realmap_a),CNN-DDQN,48,344,25,357,107,1.0,9.0492,5.2,0.371325,0.13702,0.0,0,0.13702,1,9.118,0.146
Env. (realmap_a),CNN-DDQN,49,154,43,82,21,1.0,6.9148,4.15,0.168571,0.11508,0.0,0,0.11508,1,6.972,0.014
Env. (realmap_a),RRT*,0,184,37,302,22,0.0,0.0,0.0,0.0,0.00032,0.0,0,0.00032,0,inf,inf
Env. (realmap_a),RRT*,1,160,20,101,35,0.0,22.3763,30.0,0.160916,0.74521,1.79635,15,2.54155,180,inf,inf
Env. (realmap_a),RRT*,2,286,40,352,62,0.0,23.2961,30.0,0.065188,0.23803,1.8032,15,2.04124,180,inf,inf
Env. (realmap_a),RRT*,3,152,18,77,11,0.0,0.0,0.0,0.0,0.0003,0.0,0,0.0003,0,inf,inf
Env. (realmap_a),RRT*,4,379,108,312,36,1.0,11.3801,8.45,0.305801,0.13162,0.50232,0,0.63394,1,11.697,0.816
Env. (realmap_a),RRT*,5,306,37,353,69,0.0,19.7334,30.0,0.265171,0.19157,1.81332,18,2.00489,180,inf,inf
Env. (realmap_a),RRT*,6,132,14,14,9,1.0,11.0834,7.15,0.140265,0.12356,0.44698,0,0.57055,1,11.369,0.556
Env. (realmap_a),RRT*,7,127,45,23,14,1.0,10.3774,6.8,0.157038,0.40964,0.4212,0,0.83084,1,10.793,0.577
Env. (realmap_a),RRT*,8,275,44,385,68,0.0,0.0,0.0,0.0,0.00029,0.0,0,0.00029,0,inf,inf
Env. (realmap_a),RRT*,9,256,43,142,14,1.0,10.923,7.1,0.115972,0.8134,0.43791,0,1.25132,1,11.549,0.865
Env. (realmap_a),RRT*,10,353,21,226,23,1.0,11.76,7.35,0.093719,1.33994,0.43061,0,1.77054,0,12.645,1.0
Env. (realmap_a),RRT*,11,106,19,158,41,1.0,4.7688,3.9,0.251374,0.04238,0.21294,0,0.25532,15,4.896,0.724
Env. (realmap_a),RRT*,12,278,26,374,65,1.0,10.1855,6.7,0.238737,0.1412,0.39808,0,0.53927,1,10.455,0.889
Env. (realmap_a),RRT*,13,209,40,315,33,1.0,9.7982,6.35,0.180192,0.757,0.3656,0,1.12261,1,10.36,0.97
Env. (realmap_a),RRT*,14,172,45,52,58,1.0,11.9096,7.5,0.225457,0.51966,0.45288,0,0.97253,1,12.396,0.898
Env. (realmap_a),RRT*,15,214,35,105,14,0.0,0.0,0.0,0.0,0.00026,0.0,0,0.00026,0,inf,inf
Env. (realmap_a),RRT*,16,93,19,17,33,1.0,6.8155,5.05,0.138905,0.1049,0.28351,0,0.38841,0,7.01,0.776
Env. (realmap_a),RRT*,17,99,35,222,41,1.0,11.5301,7.4,0.206423,0.29262,0.42481,0,0.71743,1,11.889,0.834
Env. (realmap_a),RRT*,18,114,37,30,20,1.0,7.9753,5.65,0.20761,0.42423,0.33548,0,0.7597,1,8.355,0.813
Env. (realmap_a),RRT*,19,133,28,59,58,0.0,0.0,0.0,0.0,0.00026,0.0,0,0.00026,0,inf,inf
Env. (realmap_a),RRT*,20,280,42,379,52,1.0,9.1272,6.05,0.11488,0.23862,0.35737,0,0.59599,0,9.425,0.667
Env. (realmap_a),RRT*,21,249,20,358,39,1.0,10.3623,6.75,0.149175,0.27874,0.38721,0,0.66595,1,10.695,0.775
Env. (realmap_a),RRT*,22,256,36,150,13,1.0,10.202,6.65,0.245167,0.23866,0.40056,0,0.63922,1,10.522,0.908
Env. (realmap_a),RRT*,23,384,105,379,39,1.0,5.8302,4.3,0.209453,0.00154,0.24098,0,0.24252,1,5.951,0.889
Env. (realmap_a),RRT*,24,53,14,134,39,0.0,0.0,0.0,0.0,0.00027,0.0,0,0.00027,0,inf,inf
Env. (realmap_a),RRT*,25,220,32,130,17,1.0,8.2265,5.75,0.113381,0.3715,0.33396,0,0.70547,0,8.579,1.0
Env. (realmap_a),RRT*,26,179,11,236,21,1.0,5.1272,4.05,0.314788,0.07271,0.22453,0,0.29724,1,5.276,0.675
Env. (realmap_a),RRT*,27,142,32,37,25,1.0,10.2995,6.7,0.293661,0.34179,0.3991,0,0.74089,1,10.67,0.907
Env. (realmap_a),RRT*,28,20,34,100,35,1.0,7.1334,5.15,0.114644,0.1808,0.29215,0,0.47294,0,7.37,0.621
Env. (realmap_a),RRT*,29,254,40,199,27,1.0,4.7189,3.95,0.187743,0.12012,0.23255,0,0.35266,0,4.895,0.651
Env. (realmap_a),RRT*,30,288,43,183,27,1.0,10.359,6.7,0.203146,0.14722,0.40193,0,0.54915,1,10.634,0.556
Env. (realmap_a),RRT*,31,283,21,373,38,0.0,0.0,0.0,0.0,5.00062,0.0,0,5.00062,0,inf,inf
Env. (realmap_a),RRT*,32,185,23,97,24,1.0,7.8857,5.45,0.165648,0.05296,0.3147,0,0.36767,0,8.07,0.889
Env. (realmap_a),RRT*,33,312,34,374,88,1.0,8.8168,5.85,0.248487,0.12002,0.33685,0,0.45687,1,9.045,0.556
Env. (realmap_a),RRT*,34,352,61,381,122,1.0,5.7932,4.35,0.174277,0.02347,0.24182,0,0.26529,1,5.926,0.889
Env. (realmap_a),RRT*,35,361,119,380,45,1.0,6.8036,5.05,0.248036,0.01504,0.29929,0,0.31432,1,6.961,0.889
Env. (realmap_a),RRT*,36,151,19,47,34,0.0,25.6266,30.0,0.076724,2.06651,1.87487,14,3.94139,180,inf,inf
Env. (realmap_a),RRT*,37,228,38,151,34,1.0,7.1184,5.5,0.222674,0.81259,0.34765,0,1.16024,1,7.699,0.905
Env. (realmap_a),RRT*,38,294,23,214,31,1.0,7.3749,5.5,0.177056,0.37226,0.34573,0,0.71799,1,7.734,0.897
Env. (realmap_a),RRT*,39,149,12,234,13,1.0,8.163,5.7,0.20144,1.02894,0.34132,0,1.37027,1,8.848,0.273
Env. (realmap_a),RRT*,40,145,38,74,11,1.0,6.9684,5.1,0.240245,0.06767,0.3421,0,0.40977,1,7.173,0.847
Env. (realmap_a),RRT*,41,268,30,376,61,1.0,10.7474,6.9,0.159363,4.75072,0.41647,0,5.16719,2,13.331,1.0
Env. (realmap_a),RRT*,42,353,64,376,117,1.0,4.7939,3.75,0.164045,0.02472,0.20539,0,0.23011,0,4.909,0.631
Env. (realmap_a),RRT*,43,12,43,89,38,0.0,0.0,0.0,0.0,5.00715,0.0,0,5.00715,0,inf,inf
Env. (realmap_a),RRT*,44,264,19,158,24,0.0,0.0,0.0,0.0,0.00034,0.0,0,0.00034,0,inf,inf
Env. (realmap_a),RRT*,45,184,15,286,26,0.0,0.0,0.0,0.0,0.00021,0.0,0,0.00021,0,inf,inf
Env. (realmap_a),RRT*,46,130,17,36,22,1.0,8.4699,5.8,0.095004,0.08849,0.34438,0,0.43287,0,8.686,0.593
Env. (realmap_a),RRT*,47,258,18,206,40,1.0,4.9187,4.05,0.288468,0.02638,0.23145,0,0.25783,1,5.048,0.556
Env. (realmap_a),RRT*,48,344,25,357,107,1.0,8.5935,6.0,0.422757,0.4591,0.3595,0,0.8186,1,9.003,0.921
Env. (realmap_a),RRT*,49,154,43,82,21,1.0,7.2666,5.25,0.447238,2.53393,0.3136,0,2.84752,1,8.69,1.0
Env. (realmap_a),LO-HA*,0,184,37,302,22,0.0,0.0,0.0,0.0,0.00011,0.0,0,0.00011,0,inf,inf
Env. (realmap_a),LO-HA*,1,160,20,101,35,1.0,5.4475,4.05,0.310985,1.81949,0.2189,0,2.03839,1,6.467,0.459
Env. (realmap_a),LO-HA*,2,286,40,352,62,0.0,0.0,0.0,0.0,5.01278,0.0,0,5.01278,0,inf,inf
Env. (realmap_a),LO-HA*,3,152,18,77,11,0.0,0.0,0.0,0.0,9e-05,0.0,0,9e-05,0,inf,inf
Env. (realmap_a),LO-HA*,4,379,108,312,36,0.0,0.0,0.0,0.0,5.01778,0.0,0,5.01778,0,inf,inf
