env,episode,mlp-dqn_return,mlp-ddqn_return,mlp-pddqn_return,cnn-dqn_return,cnn-ddqn_return,cnn-pddqn_return
forest_a,1,494.4261779785156,494.4261779785156,494.4261779785156,503.99981689453125,503.99981689453125,503.99981689453125
forest_a,2,570.6476440429688,570.6476440429688,570.6476440429688,533.6654052734375,533.6654052734375,533.6654052734375
forest_a,3,557.082275390625,557.0040283203125,557.0490112304688,552.6329956054688,552.6329956054688,539.4818115234375
forest_a,4,637.9953002929688,627.0302124023438,636.572021484375,547.5711669921875,547.5711669921875,547.5711669921875
forest_a,5,413.00848388671875,412.1084899902344,412.1084899902344,464.10888671875,464.10888671875,502.3951721191406
forest_a,6,373.1261291503906,373.1261291503906,368.15838623046875,408.8067626953125,408.8067626953125,333.081298828125
forest_a,7,511.0321044921875,511.0321044921875,497.18389892578125,501.5328369140625,510.24700927734375,509.45697021484375
forest_a,8,441.3775329589844,444.7162780761719,445.531494140625,447.46832275390625,442.7591857910156,443.44586181640625
forest_a,9,525.4899291992188,525.4899291992188,506.334228515625,437.5472717285156,437.5472717285156,427.2077941894531
forest_a,10,563.867431640625,563.867431640625,580.8804321289062,572.0901489257812,572.0901489257812,557.9166870117188
forest_a,11,449.5157775878906,447.8178405761719,450.5805969238281,449.35028076171875,450.2673645019531,450.3372802734375
forest_a,12,560.8943481445312,539.5592651367188,433.7518310546875,551.2943115234375,551.7470092773438,522.5894165039062
forest_a,13,501.50311279296875,467.4053649902344,627.6130981445312,528.0697631835938,578.3140869140625,574.1644897460938
forest_a,14,619.2428588867188,612.5498657226562,477.5352783203125,599.154541015625,592.3888549804688,627.6261596679688
forest_a,15,504.5577392578125,408.8184814453125,477.5511474609375,389.40191650390625,395.7970886230469,440.8746337890625
forest_a,16,472.3333740234375,488.2277526855469,487.1475524902344,489.3709411621094,431.89019775390625,488.66058349609375
forest_a,17,353.79345703125,348.494384765625,364.9518737792969,447.14788818359375,255.45957946777344,352.8856201171875
forest_a,18,412.38543701171875,414.673828125,528.6815185546875,557.6631469726562,551.697021484375,531.2821655273438
forest_a,19,453.6359558105469,507.4575500488281,435.52752685546875,510.6713562011719,509.36309814453125,518.0641479492188
forest_a,20,552.3966674804688,460.2189636230469,511.1825256347656,567.018310546875,531.5371704101562,588.4876098632812
forest_a,21,643.9559936523438,555.573974609375,653.2621459960938,632.8666381835938,478.1479187011719,562.3394775390625
forest_a,22,519.154296875,436.8624572753906,510.8432922363281,540.794921875,513.069580078125,501.2207946777344
forest_a,23,356.6831359863281,490.315673828125,304.5372009277344,294.7646789550781,419.1525573730469,307.96820068359375
forest_a,24,399.8242492675781,514.5888061523438,495.8374328613281,548.1776733398438,385.6011047363281,527.8941040039062
forest_a,25,-302.5935363769531,-341.08154296875,-348.3064270019531,-333.19342041015625,-339.4989929199219,-343.2539367675781
forest_a,26,448.882568359375,409.0643310546875,426.1919860839844,448.44769287109375,445.3054504394531,443.21234130859375
forest_a,27,462.29296875,426.0514831542969,416.25885009765625,586.1423950195312,535.010498046875,627.0035400390625
forest_a,28,567.8280639648438,534.5333251953125,528.7869873046875,464.7200012207031,486.954833984375,401.4028015136719
forest_a,29,605.484619140625,523.595458984375,610.3888549804688,460.12744140625,498.31201171875,480.60662841796875
forest_a,30,565.0226440429688,479.0488586425781,472.4219665527344,544.2152709960938,594.1424560546875,506.84625244140625
forest_a,31,341.5777893066406,488.80670166015625,326.6930236816406,341.7112121582031,365.451171875,570.5436401367188
forest_a,32,440.0789794921875,423.87908935546875,413.90618896484375,482.89764404296875,477.7830505371094,385.29376220703125
forest_a,33,352.75396728515625,479.42950439453125,515.5901489257812,455.619384765625,432.64154052734375,518.998779296875
